Non-native Plant List,Non-native Animal List,,,,,Class B,Genus_species,Invasive_class,,,,,,,,,,
Festuca valesiaca,,,,,,,Barbarea stricta,VT Flora outside NA,,,,,,,,,,
Froelicha gracilis,,,,,,,Bellis perennis,VT Flora outside NA,,,,,,,,,,
Gagea fragifera,,,,,,,Berberis koreana,VT Flora outside NA,,,,,,,,,,
Genista tinctoria,,,,,,,Betula pubescens,VT Flora outside NA,,,,,,,,,,
Geranium aequale,,,,,,,Bromus squarrosus,VT Flora outside NA,,,,,,,,,,
Geum urbanum,,,,,,,Calamagrostis epigeios ssp. Glomerata,VT Flora outside NA,,,,,,,,,,
Gilia achilleifolia ssp. Multicaulis,,,,,,,Cannabis sativa ssp. Indica,VT Flora outside NA,,,,,,,,,,
Glyceria maxima,,,,,,,Cardamine flexuosa,VT Flora outside NA,,,,,,,,,,
Glycine max,,,,,,,Cardamine hirsuta,VT Flora outside NA,,,,,,,,,,
Goodyera oblongifolia,,,,,,,Cardamine impatiens,VT Flora outside NA,,,,,,,,,,
Helianthus grosseserratus,,,,,,,Carex flacca,VT Flora outside NA,,,,,,,,,,
Heracleum mantegazzianum,,,,,,,Carex hirta,VT Flora outside NA,,,,,,,,,,
Hesperis matronalis,,,,,,,Carex spicata,VT Flora outside NA,,,,,,,,,,
Hieracium murorum,,,,,,,Centaurium pulchellum,VT Flora outside NA,,,,,,,,,,
Hieracium sabaudum,,,,,,,Cerastium tomentosum,VT Flora outside NA,,,,,,,,,,
Humulus japonicus,,,,,,,Chaenomeles japonica,VT Flora outside NA,,,,,,,,,,
Humulus lupulus var. lupuloides,,,,,,,Chionodoxa forbesii,VT Flora outside NA,,,,,,,,,,
Hydrocharis morsus-ranae,,,,,,,Citrullus lanata,VT Flora outside NA,,,,,,,,,,
Hylotelephium erythrosticum,,,,,,,Colchium autumnale,VT Flora outside NA,,,,,,,,,,
Iberis sempervirens,,,,,,,Consolida orientalis,VT Flora outside NA,,,,,,,,,,
Impatiens glandulifera,,,,,,,Corydalis setosa,VT Flora outside NA,,,,,,,,,,
Ipomea hederacea,,,,,,,Corydalis solida,VT Flora outside NA,,,,,,,,,,
Ipomoea hederifolia,,,,,,,Corydalis tectorum,VT Flora outside NA,,,,,,,,,,
Iris pseudacorus,,,,,,,Dicamnus albus,VT Flora outside NA,,,,,,,,,,
Iris sibirica,,,,,,,Digitalis grandiflora,VT Flora outside NA,,,,,,,,,,
Juncus compressus,,,,,,,Dioscoraea batatas,VT Flora outside NA,,,,,,,,,,
Kolkwitzia amabilis,,,,,,,Dipsacus laciniatus,VT Flora outside NA,,,,,,,,,,
Lamium galeobdolon,,,,,,,Echinacea purpurea,VT Flora outside NA,,,,,,,,,,
Lamium purpureum var. purpureum,,,,,,,Eleusine indica,VT Flora outside NA,,,,,,,,,,
Lavandula angustifolia,,,,,,,Epilobium parviflorum,VT Flora outside NA,,,,,,,,,,
Lespedeza bicolor,,,,,,,Epipactis atrorubens,VT Flora outside NA,,,,,,,,,,
