"species","year","cum_species"
"Placobdella rugosa",1863,403
"Dryophytes versicolor",1863,403
"Chelydra serpentina",1863,403
"Ameiurus nebulosus",1863,403
"Nephromopsis nivalis",1863,403
"Trachelipus rathkii",1863,403
"Physella ancillaria",1863,403
"Tachycineta bicolor",1863,403
"Lepisosteus osseus",1863,403
"Lepomis gibbosus",1863,403
"Esox niger",1863,403
"Pomoxis nigromaculatus",1863,403
"Notemigonus crysoleucas",1863,403
"Cyprinella spiloptera",1863,403
"Notropis atherinoides",1863,403
"Cyprinella whipplei",1863,403
"Austroboletus gracilis",1864,405
"Cystopteris bulbifera",1864,405
"Huperzia lucidula",1865,408
"Clavaria cristata",1865,408
"Tympanis picastra",1865,408
"Juncus nodosus",1866,415
"Usnea angulata",1866,415
"Persicaria pensylvanica",1866,415
"Chara globularis",1866,415
"Nitella flexilis",1866,415
"Aureoboletus innixus",1866,415
"Chara braunii",1866,415
"Nitella gracilis",1867,422
"Fallopia cilinode",1867,422
"Solanum dulcamara",1867,422
"Sisyrinchium montanum",1867,422
"Xanthoconium affine",1867,422
"Vireo flavifrons",1867,422
"Tylopilus ferrugineus",1867,422
"Rudiloria trimaculata",1868,427
"Carex grisea",1868,427
"Lampsilis radiata",1868,427
"Carex amphibola",1868,427
"Uroblaniulus canadensis",1868,427
"Cambarus bartonii",1869,432
"Carex dacica",1869,432
"Spinulum annotinum",1869,432
"Boletus luteus",1869,432
"Abies balsamea",1869,432
"Carex tuckermanii",1870,447
"Carex eburnea",1870,447
"Lobelia kalmii",1870,447
"Hypericum ascyron",1870,447
"Rhynchospora capitellata",1870,447
"Thuja occidentalis",1870,447
"Solidago uliginosa",1870,447
"Potamogeton illinoensis",1870,447
"Streptopus amplexifolius",1870,447
"Storeria occipitomaculata",1870,447
"Dasiphora fruticosa",1870,447
"Woodsia glabella",1870,447
"Polystichum braunii",1870,447
"Marmota monax",1870,447
"Solidago macrophylla",1870,447
"Corvus brachyrhynchos",1871,477
"Oxalis acetosella",1871,477
"Spizella passerina",1871,477
"Calamagrostis inexpansa",1871,477
"Stellaria borealis",1871,477
"Dicentra canadensis",1871,477
"Carex castanea",1871,477
"Dicentra cucullaria",1871,477
"Anemone virginiana",1871,477
"Carex oederi",1871,477
"Viola canadensis",1871,477
"Carex gynandra",1871,477
"Butyriboletus frostii",1871,477
"Arabidopsis lyrata",1871,477
"Pooecetes gramineus",1871,477
"Carex saxatilis",1871,477
"Eleocharis quinqueflora",1871,477
"Sorbus americana",1871,477
"Carex trisperma",1871,477
"Carex disperma",1871,477
"Rosa blanda",1871,477
"Ranunculus trichophyllus",1871,477
"Petrochelidon pyrrhonota",1871,477
"Pyrola rotundifolia",1871,477
"Hedysarum boreale",1871,477
"Carex vaginata",1871,477
