"species","year","cum_species"
"Solidago macrophylla",1870,440
"Hypericum ascyron",1870,440
"Carex eburnea",1870,440
"Marmota monax",1870,440
"Dicentra canadensis",1871,470
"Spizella passerina",1871,470
"Sorbus americana",1871,470
"Oxalis acetosella",1871,470
"Stellaria borealis",1871,470
"Carex disperma",1871,470
"Erigeron hyssopifolius",1871,470
"Calamagrostis inexpansa",1871,470
"Ranunculus trichophyllus",1871,470
"Anemone virginiana",1871,470
"Polycauliona candelaria",1871,470
"Carex trisperma",1871,470
"Carex oederi",1871,470
"Carex castanea",1871,470
"Pyrola rotundifolia",1871,470
"Carex gynandra",1871,470
"Eleocharis quinqueflora",1871,470
"Viola canadensis",1871,470
"Butyriboletus frostii",1871,470
"Petrochelidon pyrrhonota",1871,470
"Hedysarum boreale",1871,470
"Rosa blanda",1871,470
"Carex saxatilis",1871,470
"Fraxinus nigra",1871,470
"Carex vaginata",1871,470
"Pooecetes gramineus",1871,470
"Arabidopsis lyrata",1871,470
"Brachyelytrum aristosum",1871,470
"Corvus brachyrhynchos",1871,470
"Dicentra cucullaria",1871,470
"Catharus guttatus",1872,484
"Sphyrapicus varius",1872,484
"Antennaria neglecta",1872,484
"Junco hyemalis",1872,484
"Spinus tristis",1872,484
"Sanguinaria canadensis",1872,484
"Setophaga virens",1872,484
"Epigaea repens",1872,484
"Anaphalis margaritacea",1872,484
"Mniotilta varia",1872,484
"Ribes americanum",1872,484
"Tyrannus tyrannus",1872,484
"Bonasa umbellus",1872,484
"Cardellina canadensis",1872,484
"Carex buxbaumii",1873,506
"Cryptogramma stelleri",1873,506
"Alnus incana",1873,506
"Luzula bulbosa",1873,506
"Moneses uniflora",1873,506
"Carex vesicaria",1873,506
"Carex torta",1873,506
"Alosa sapidissima",1873,506
"Rubus pubescens",1873,506
"Lycopus uniflorus",1873,506
"Carex hirtifolia",1873,506
"Primula mistassinica",1873,506
"Alopecurus aequalis",1873,506
"Amelanchier arborea",1873,506
"Viola renifolia",1873,506
"Potamogeton richardsonii",1873,506
"Dryopteris clintoniana",1873,506
"Poa glauca",1873,506
"Lanius ludovicianus",1873,506
"Juncus filiformis",1873,506
"Deparia acrostichoides",1873,506
"Dicksonia punctiloba",1873,506
"Utricularia cornuta",1874,527
"Lappula squarrosa",1874,527
"Solidago randii",1874,527
"Pyrola chlorantha",1874,527
"Calla palustris",1874,527
"Homalosorus pycnocarpos",1874,527
"Botrychium matricariifolium",1874,527
"Scutellaria parvula",1874,527
"Lycoperdon pulcherrimum",1874,527
"Blitum capitatum",1874,527
"Physconia pulverulenta",1874,527
"Persicaria virginiana",1874,527
"Peltigera rufescens",1874,527
"Erythronium americanum",1874,527
"Chenopodiastrum simplex",1874,527
"Solidago hispida",1874,527
"Agrostis perennans",1874,527
"Dolichousnea longissima",1874,527
"Maianthemum trifolium",1874,527
"Leptogium acadiense",1874,527
"Claytonia caroliniana",1874,527
"Parmotrema perlatum",1875,551
"Cladonia gracilis",1875,551
"Bryoerythrophyllum recurvirostrum",1875,551
"Fallopia scandens",1875,551
"Cladonia crispata",1875,551
"Scheuchzeria palustris",1875,551
"Puma concolor",1875,551
"Verbena hastata",1875,551
"Parmelia sulcata",1875,551
"Pylaisiella intricata",1875,551
"Eriophorum tenellum",1875,551
"Cladonia cenotea",1875,551
"Picea glauca",1875,551
"Asplenium ruta-muraria",1875,551
"Cladonia furcata",1875,551
"Asio otus",1875,551
"Pertusaria hymenea",1875,551
"Cladonia pyxidata",1875,551
"Polygonum douglasii",1875,551
"Carex lupulina",1875,551
"Carex novae-angliae",1875,551
"Pylaisia polyantha",1875,551
"Cladonia fimbriata",1875,551
"Utricularia intermedia",1875,551
"Malaxis unifolia",1876,670
"Luzula parviflora",1876,670
"Asplenium platyneuron",1876,670
"Bistorta vivipara",1876,670
"Helianthus tuberosus",1876,670
"Elymus repens",1876,670
"Rhododendron maximum",1876,670
"Medeola virginiana",1876,670
"Alnus alnobetula",1876,670
"Sparganium emersum",1876,670
"Salix myrtilloides",1876,670
"Trisetum flavescens",1876,670
"Muhlenbergia mexicana",1876,670
"Eleocharis erythropoda",1876,670
"Carex exilis",1876,670
"Uvularia sessilifolia",1876,670
"Diervilla lonicera",1876,670
"Neottia cordata",1876,670
"Salix candida",1876,670
"Lasallia pustulata",1876,670
"Cypripedium parviflorum",1876,670
"Spiranthes incurva",1876,670
"Quercus macrocarpa",1876,670
"Drymocallis arguta",1876,670
"Streptopus lanceolatus",1876,670
"Geum fragarioides",1876,670
"Salix sericea",1876,670
"Trillium undulatum",1876,670
"Carex stricta",1876,670
"Agrimonia striata",1876,670
"Solidago squarrosa",1876,670
"Viola rotundifolia",1876,670
"Trillium cernuum",1876,670
"Apios americana",1876,670
"Clematis virginiana",1876,670
"Anthoxanthum nitens",1876,670
"Salix pedicellaris",1876,670
"Vaccinium corymbosum",1876,670
"Empetrum nigrum",1876,670
"Goodyera pubescens",1876,670
"Dysphania botrys",1876,670
"Spiranthes romanzoffiana",1876,670
"Cardamine parviflora",1876,670
"Salmo salar",1876,670
"Oreojuncus trifidus",1876,670
"Salix lucida",1876,670
"Carex cryptolepis",1876,670
"Lygodium palmatum",1876,670
"Salix nigra",1876,670
"Euphorbia peplus",1876,670
"Solidago altissima",1876,670
"Corylus americana",1876,670
"Nyssa sylvatica",1876,670
"Cichorium intybus",1876,670
"Ageratina altissima",1876,670
"Amphicarpaea bracteata",1876,670
"Viburnum rafinesquianum",1876,670
"Calamagrostis pickeringii",1876,670
"Galearis rotundifolia",1876,670
"Potamogeton nodosus",1876,670
"Symphoricarpos albus",1876,670
"Amelanchier laevis",1876,670
"Elymus virginicus",1876,670
"Vallisneria americana",1876,670
"Vaccinium uliginosum",1876,670
"Stachys aspera",1876,670
"Cladium mariscoides",1876,670
"Enallagma hageni",1876,670
"Eleocharis obtusa",1876,670
"Arethusa bulbosa",1876,670
"Quercus rubra",1876,670
"Epifagus virginiana",1876,670
"Iris versicolor",1876,670
"Carex brunnescens",1876,670
"Claytosmunda claytoniana",1876,670
"Sagittaria latifolia",1876,670
"Carex limosa",1876,670
"Platanthera aquilonis",1876,670
"Dryopteris mickelii",1876,670
"Eragrostis hypnoides",1876,670
"Stuckenia pectinata",1876,670
"Salix fragilis",1876,670
"Carex magellanica",1876,670
"Atrichum undulatum",1876,670
"Dryopteris fragrans",1876,670
"Parathelypteris noveboracensis",1876,670
"Nephroma arcticum",1876,670
"Typha latifolia",1876,670
"Potamogeton gramineus",1876,670
"Juncus brevicaudatus",1876,670
"Maianthemum canadense",1876,670
"Polygonatum pubescens",1876,670
"Avenella flexuosa",1876,670
"Argentina anserina",1876,670
"Onychoprion fuscatus",1876,670
"Maianthemum racemosum",1876,670
"Populus deltoides",1876,670
"Lysimachia ciliata",1876,670
"Carex brevior",1876,670
"Symphyotrichum lanceolatum",1876,670
"Euphorbia platyphyllos",1876,670
"Solidago bicolor",1876,670
"Woodsia obtusa",1876,670
"Botrychium lanceolatum",1876,670
"Asplenium viride",1876,670
"Salix uva-ursi",1876,670
"Polygaloides paucifolia",1876,670
"Juncus tenuis",1876,670
"Eleocharis tenuis",1876,670
"Lonicera oblongifolia",1876,670
"Ulmus rubra",1876,670
"Clintonia borealis",1876,670
"Oryzopsis racemosa",1876,670
"Cephalanthus occidentalis",1876,670
"Salix discolor",1876,670
"Shepherdia canadensis",1876,670
"Pellaea atropurpurea",1876,670
"Muhlenbergia frondosa",1876,670
"Cinna latifolia",1876,670
"Lepidium densiflorum",1877,894
"Dicranella varia",1877,894
"Syzygiella autumnalis",1877,894
"Lonicera canadensis",1877,894
"Woodsia alpina",1877,894
